"name","Fluorophore","Antigen","Type"
"DTR_2023_ILT_00-Reference Group-4BeadsUnstained (Beads).1237095.fcs",NA,NA,"Beads"
"DTR_2023_ILT_00-Reference Group-DR_CCR4 BUV615 (Beads).1237096.fcs","BUV615","CCR4","Beads"
"DTR_2023_ILT_00-Reference Group-DR_CCR6 BV786 (Beads).1237097.fcs","BV786","CCR6","Beads"
"DTR_2023_ILT_00-Reference Group-DR_CCR7 BV650 (Beads).1237098.fcs","BV650","CCR7","Beads"
"DTR_2023_ILT_00-Reference Group-DR_CD107a APC-R700 (Beads).1237099.fcs","APC-R700","CD107a","Beads"
"DTR_2023_ILT_00-Reference Group-DR_CD127 BV421 (Beads).1237100.fcs","BV421","CD127","Beads"
"DTR_2023_ILT_00-Reference Group-DR_CD16 APC (Beads).1237101.fcs","APC","CD16","Beads"
"DTR_2023_ILT_00-Reference Group-DR_CD161 BV480 (Beads).1237102.fcs","BV480","CD161","Beads"
"DTR_2023_ILT_00-Reference Group-DR_CD25 PE-Cy5 (Beads).1237103.fcs","PE-Cy5","CD25","Beads"
"DTR_2023_ILT_00-Reference Group-DR_CD26 PerCP-Cy5.5 (Beads).1237104.fcs","PerCP-Cy5.5","CD26","Beads"
"DTR_2023_ILT_00-Reference Group-DR_CD27 APC-Fire 750 (Beads).1237105.fcs","APC-Fire 750","CD27","Beads"
"DTR_2023_ILT_00-Reference Group-DR_CD3 Alexa Fluor 488 (Beads).1237106.fcs","Alexa Fluor 488","CD3","Beads"
"DTR_2023_ILT_00-Reference Group-DR_CD3 Alexa Fluor 647 (Beads).1237107.fcs","Alexa Fluor 647","CD3","Beads"
"DTR_2023_ILT_00-Reference Group-DR_CD3 FITC (Beads).1237108.fcs","FITC","CD3","Beads"
"DTR_2023_ILT_00-Reference Group-DR_CD3 Spark Blue 550 (Beads).1237109.fcs","Spark Blue 550","CD3","Beads"
"DTR_2023_ILT_00-Reference Group-DR_CD38 APC-Fire 810 (Beads).1237110.fcs","APC-Fire 810","CD38","Beads"
"DTR_2023_ILT_00-Reference Group-DR_CD4 BUV805 (Beads).1237111.fcs","BUV805","CD4","Beads"
"DTR_2023_ILT_00-Reference Group-DR_CD45RA BV510 (Beads).1237112.fcs","BV510","CD45RA","Beads"
"DTR_2023_ILT_00-Reference Group-DR_CD56 BV605 (Beads).1237113.fcs","BV605","CD56","Beads"
"DTR_2023_ILT_00-Reference Group-DR_CD62L BUV395 (Beads).1237114.fcs","BUV395","CD62L","Beads"
"DTR_2023_ILT_00-Reference Group-DR_CD69 BUV563 (Beads).1237115.fcs","BUV563","CD69","Beads"
"DTR_2023_ILT_00-Reference Group-DR_CD7 BV711 (Beads).1237116.fcs","BV711","CD7","Beads"
"DTR_2023_ILT_00-Reference Group-DR_CD8 BUV496 (Beads).1237117.fcs","BUV496","CD8","Beads"
"DTR_2023_ILT_00-Reference Group-DR_CXCR3 BUV737 (Beads).1237118.fcs","BUV737","CXCR3","Beads"
"DTR_2023_ILT_00-Reference Group-DR_Dump_CD14 Pacific Blue (Beads).1237119.fcs","Pacific Blue","Dump_CD14","Beads"
"DTR_2023_ILT_00-Reference Group-DR_Dump_CD19 Pacific Blue (Beads).1237120.fcs","Pacific Blue","Dump_CD19","Beads"
"DTR_2023_ILT_00-Reference Group-DR_IFNg BV750 (Beads).1237121.fcs","BV750","IFNg","Beads"
"DTR_2023_ILT_00-Reference Group-DR_NKG2D PE (Beads).1237122.fcs","PE","NKG2D","Beads"
"DTR_2023_ILT_00-Reference Group-DR_PD1 PE-Vio770 (Beads).1237123.fcs","PE-Vio770","PD1","Beads"
"DTR_2023_ILT_00-Reference Group-DR_TNFa PE-Dazzle594 (Beads).1237124.fcs","PE-Dazzle594","TNFa","Beads"
"DTR_2023_ILT_00-Reference Group-DR_Va24Ja18 FITC (Beads).1237125.fcs","FITC","Va24Ja18","Beads"
"DTR_2023_ILT_00-Reference Group-DR_Va7.2 Alexa Fluor 647 (Beads).1237126.fcs","Alexa Fluor 647","Va7.2","Beads"
"DTR_2023_ILT_00-Reference Group-DR_VD2 BUV661 (Beads).1237127.fcs","BUV661","VD2","Beads"
